Artist,Title,Track ID,Album,Release Date,Duration (sec),Popularity
Los Gatos,La Balsa,spotify:track:4J2xMy0kakU9sAin1uppxb,Los Gatos,1967-02-13,176.0,46
Almendra,Muchacha (Ojos de Papel),spotify:track:1SXzI5Rnid2ApgNQPmROLm,El 1er Álbum Más los Singles,1992-04-01,187.786,48
Sui Generis,Rasguña las Piedras,spotify:track:3lvAzKmRH8vzXQ4xm19v78,Confesiones De Invierno,1973-06-22,191.226,53
Soda Stereo,De Música Ligera - Remasterizado 2007,spotify:track:2lpIh6Gr6HYjg1CFBaucS5,Canción Animal (Remastered),1990-10-09,212.746,76
Patricio Rey y sus Redonditos de Ricota,Ji Ji Ji,spotify:track:1tW6LiJGXGlReuNP38wrKb,Oktubre,1986-01-10,334.6,1
León Gieco,Sólo Le Pido A Dios,spotify:track:5XxFB1oX6QvX5hrWESHIa5,Desenchufado,1994-01-01,248.466,52
Vox Dei,Presente (El Momento en Que Estás),spotify:track:4bFUkfOd1ZGrCaszcsBP2L,Caliente,1970-05-27,194.013,27
Serú Girán,Seminare,spotify:track:5bXhx2vO2N4ZwUi0QFn4HU,Serú Girán,1978-11-14,203.406,0
Fito Paez,Y dale alegría a mi corazón,spotify:track:48YvbZN5ndSIQuVorf48fM,Tercer Mundo,1990-06-24,311.946,52
Los Fabulosos Cadillacs,Matador - Remasterizado 2008,spotify:track:7d4pdMym8ZBOgf1oVPTiPb,Vasos Vacíos,1993-06-18,275.893,62
Sui Generis,Canción para Mi Muerte,spotify:track:0t0Kl5jxxV3s8bdpILkgmd,Vida,1972-06-22,215.906,59
Sumo,La Rubia Tarada,spotify:track:0fl226orGuKX2sjg7y7dyU,Obras Cumbres,1985,222.24,0
Moris,El Oso,spotify:track:42WA51ZqDPtp4ZhJj2ngAB,Treinta Minutos de Vida,1970-05-27,174.973,37
Los Abuelos De La Nada,Mil Horas,spotify:track:6sBgH04G1edCBg7eC8rIdl,El Album,1988-01-01,167.066,53
Sandro,Tengo,spotify:track:21VWhRhjxCvtXUFcUeqnBL,Sandro Lo Mejor,2007-10-02,121.893,35
Charly García,Demoliendo Hoteles,spotify:track:29iIRrSuANyjnwag69PHOJ,Piano Bar,1984-01-01,135.973,65
Fito Paez,Yo Vengo A Ofrecer Mi Corazon,spotify:track:2PhrL2xyZCqr5OPQJirv0i,Giros,1985-01-01,214.84,52
Los Pericos,Nada que perder,spotify:track:6UlD0JgjMvVXGB4J61w6hW,El Ritual De La Banana / Los Pericos,1987,211.426,39
Divididos,¿Qué Ves?,spotify:track:0aad6vDkOmu9d1aFNvOwYC,La Era De La Boludez,1993,313.733,65
Manal,Jugo de Tomate,spotify:track:0agzpJR3jRbfLKhG5nWxx3,Manal,1970-05-27,166.4,40
Virus,Imágenes Paganas,spotify:track:6hiXQhwO98tEbNNbWtNS1Y,Vivo,1986-04-29,269.093,57
Sumo,Los Viejos Vinagres,spotify:track:1im6qBIKkKI74toy5Htaur,Obras Cumbres,1985,195.573,0
Andrés Calamaro,Flaca,spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,Alta Suciedad,1997,277.653,78
Charly García,Los Dinosaurios,spotify:track:3VCKdfJAL8DTDlwZw5O6Ik,Clics Modernos,1983-11-05,208.093,57
La Renga,El Revelde,spotify:track:24o76WATbnSIhV26hHgUHn,La Renga,1998-01-01,224.266,62
Los Piojos,Verano del 92,spotify:track:1NXvuBAq48QrxRFQZVmORQ,3er Arco,1996,430.96,0
Bersuit Vergarabat,Se Viene,spotify:track:3sDmwlRdEdsb1BLDChJSJV,Libertinaje,1998-01-01,205.946,53
Miguel Mateos - Zas,Tirá para Arriba,spotify:track:67wEz8F9d1SBBeX4IOWfck,Tengo Que Parar,1984-05-10,309.244,48
Fito Paez,11 Y 6,spotify:track:2PkTjm1QAJCZbJ9MqC4RqA,Giros,1985-01-01,178.266,70
Los Auténticos Decadentes,Los Piratas,spotify:track:4vtaM6xsM7V8R1sJseCWHu,Cualquiera Puede Cantar,1997-10-01,184.866,54
Soda Stereo,Persiana Americana - Remasterizado 2007,spotify:track:71awpJoi5bqGMBrTkHDDoL,Signos (Remastered),1986-10-09,292.266,74
Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,spotify:track:5WeBnrDPyLhxruxVryHCkn,Gulp!,1985-04-22,247.066,1
Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,spotify:track:2qBirMakpTdz9ymxrZEyzg,Peluson Of Milk,1991-01-01,160.866,68
Los Ratones Paranoicos,Para siempre,spotify:track:12L4EdgpIWpza2vI0atLEA,Soy Rock 1,2010-12-30,275.678,32
Illya Kuryaki & The Valderramas,Abarajame,spotify:track:3uLlpzZGQCMfhM0kmuI4qn,Chaco (Serie Rock Nacional 2004),2004-01-01,258.44,53
Fabiana Cantilo,Mi enfermedad,spotify:track:46bGEqzd7anKKovVOZ9bTF,Algo mejor,1991-11-11,201.773,56
Catupecu Machu,Y Lo Que Quiero Es Que Pises Sin El Suelo,spotify:track:3z5F0EaY9VCq9GiQPzrbDX,Cuentos Decapitados,2000-01-01,192.24,53
Litto Nebbia,Solo Se Trata de Vivir,spotify:track:4vKvCed2EoxBl4DFSqSUH8,Solo Se Trata de Vivir / Solopiano Vol. 1,1982-08-08,258.403,39
Divididos,Spaghetti del Rock,spotify:track:6rg1MBZqggsQ5olFGTw0rr,"Narigón del Siglo, Yo Te Dejo Perfumado en la Esquina para Siempre",2000-02-14,212.88,67
Juan Carlos Baglietto,"Mirta, De Regreso",spotify:track:13OPtX7qzpaE638ytwR9zj,Tiempos Dificiles,1982-01-01,275.8,34
Los Violadores,1-2 Ultraviolento,spotify:track:3ZFfwUQxXspg5hhJXyFR8J,Lo Mejor De Los Violadores,2001,258.013,45
