title,id,url,album,lyrics
A1,4423039,https://genius.com/Charly-garcia-a1-lyrics,"Album(id, artist, ...)",
Adela en el Carrousell,1760724,https://genius.com/Charly-garcia-adela-en-el-carrousell-lyrics,"Album(id, artist, ...)","4 ContributorsAdela en el Carrousell Lyrics[Letra de ""Adela en el Carrousell""]

[Verso 1]
Adela en el carrousell
Y los espejos son sonrisas; la sortija, un aparato de amor
Adela en el carrousell
Y los caballos de madera que la mecen y le mojan la piel

[Coro]
Ten piedad, no seas así
No le des patadas a los locos
Ten piedad, no seas así
Voy desvaneciendo sin tu amor

[Verso 2]
El sol empieza a salir
Y en los jardines de su mente, hay estatuas que ella debe pulir
La luna empieza a llorar
Y cuando todo es tan plateado, hay colores que no pueden entrar

[Coro]
Ten piedad, no seas así
No le des patadas a los locos
Ten piedad, no seas así
Voy desvaneciendo sin tu amor


[Verso 3]
Y a través de la sortija, ella lo convirtió
En un caballo que gira y gira a su alrededor
Tanto girar, girar es un defecto
Tanto esperar, esperando que se haga realidad
Él se pasa girando sin parar
Nada es perfecto

[Puente Instrumental]

[Verso 4]
(Adela en el más allá)
Es una estrella clandestina que ilumina los despojos de amor
(Él sólo quiere mirar)
La calesita de los sueños que se fueron y ya no volverán

[Coro]
Ten piedad, no seas así
No le des patadas a los locos
Ten piedad, no seas así
Voy desvaneciendo sin tu amor

[Outro Instrumental]"
Adela on the carousel (Adela en el carrousel - English Lyrics),10300359,https://genius.com/Charly-garcia-adela-on-the-carousel-adela-en-el-carrousel-english-lyrics-lyrics,,"1 ContributorAdela on the carousel (Adela en el carrousel - English Lyrics) Lyrics[Verse 1]
Adela on the carousel
And the mirrors are smiles
And the ring a device of love

[Verse 2]
Adela on the carousel
And the wooden horses
That cradle her and drench her skin

[Chorus]
Have mercy, don't be like this
Don’t kick the mad men
Have mercy, don't be like this
I'm fading away without your love

[Verse 3]
The sun is coming out
And in the gardens of her mind
There are statues that she must clean

[Verse 4]
The moon starts to cry
And when everything is so silver
There are colours that can’t get in


[Chorus]
Have mercy, don't be like this
Don't kick the mad men
Have mercy, don't be like this
I'm fading away without your love

(Bridge)

[Verse 5]
And through the ring she turned him
Into a horse that twists and turns around her
Twists so hard
Twisting is an outcome
Waits so long
Waiting it comes true
He keeps twisting non-stop
Nothing is perfect

[Verse 6]
Adela in the beyond
She's a clandestine star
That shines through the spoils of love

[Verse 7]
He just wants to watch
The merry-go-round of dreams
That are gone and will never return


[Chorus]
Have mercy, don't be like this
Don't kick the mad men
Have mercy, don’t be like this
I’m fading away without your love"
Agua y Piano,4218398,https://genius.com/Charly-garcia-agua-y-piano-lyrics,"Album(id, artist, ...)",
Alguien en el Mundo Piensa En Mí,988752,https://genius.com/Charly-garcia-alguien-en-el-mundo-piensa-en-mi-lyrics,"Album(id, artist, ...)","5 ContributorsAlguien en el Mundo Piensa En Mí Lyrics[Letra de ""Alguien en el Mundo Piensa En Mí""]

[Intro]
Vamos de nuevo
Ah-ah, ya no hay nadie
(¿Recordas el día que naciste?)
(¿Recordas el día que recordaste algo por primera vez?)
(Quizás tu vuelo se caiga en el próximo meridiano)
¡Grande, campeón!
Y tal vez tu auto chocó la otra mañana y recién extrañarás a tu pequeño perro el día de su cumpleaños
Yo tengo un gato
Vamos

[Coro 1]
Yo sé que no soy culpable
Yo sé que ahora soy feliz (Ja, ja)
Yo sé que queria que alguien
Alguien en el mundo piense en mí
Yo sé que soy inbancable
Yo sé que te hice reír (Ah)
Yo sé, soy insoportable
(Pero) Alguien en el mundo piensa en mí

[Verso]
Nada que hacer, nada que ver
Solo vemos las películas negras (Nena)
Nada que hacer, nada que ver
(La vanguardia es así)


[Puente]
Oh-oh-oh-oh
Oh, oh (La-la-la-la)
Oh, oh-oh-oh-oh
Oh, oh (La-la-la-la)
Alguien en el mundo piensa en mí
Ah-ah, ah-ah (La-la-la-la)
Ah, ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah
Alguien en el mundo piensa en mí
Piensa en mí (Piensa en mí)
Dime...
Piensa en mí (Piensa en mí)
(Piensen) Y vos, (Piensen) ¿alguna vez pensaste en mí?
(No pienses)
Oh-oh-oh

[Coro 2]
Yo sé que soy inbancable
Yo sé que no soy feliz
Yo sé que soy un amable traidor
(Pero) Alguien en el mundo piensa en mí (Piensa en mí)
Porque
Alguien en el mundo piensa en mí
Piensa en mí (Piensa en mí)
Piensa en mí
Piensa en mí
(Piensa en mí)"
Alicia Va a la Disco,4218397,https://genius.com/Charly-garcia-alicia-va-a-la-disco-lyrics,"Album(id, artist, ...)",
All I Do the Whole Night Through,1009815,https://genius.com/Charly-garcia-all-i-do-the-whole-night-through-lyrics,"Album(id, artist, ...)","4 ContributorsAll I Do the Whole Night Through LyricsAll I do the whole night through
Is dream of you
With the dawn I still go on
Dreamin' of you

You're every thought, you're everything
You're every song I ever sing
Summer, winter, autumn, and spring
Were there more than 24 hours a day

They'd be spent in sweet content dreamin' away
Sky's are gray! Sky's are blue!
Morning, noon, and night-time, too!
All I do the whole day through
Is dream of you-o-u!

It's the cat's meow!

All I do the whole day through
Is dream of You"
Ambiente,8629701,https://genius.com/Charly-garcia-ambiente-lyrics,"Album(id, artist, ...)","2 ContributorsAmbiente Lyrics[Letra de ""Ambiente""]

INSTRUMENTAL"
América,10757360,https://genius.com/Charly-garcia-america-lyrics,"Album(id, artist, ...)","5 ContributorsAmérica Lyrics[Letra de ""América""]

[Verso 1: Charly García & Pedro Aznar]
Tengo miedo de América, tengo miedo de aquí
Tengo miedo de prédicas, miedo de ir y venir
Tengo miedo de América, y de entrar sin salir
Tengo miedo de réplicas, que nos saquen de aquí

[Coro: Pedro Aznar]
Valle del futuro es un oscuro callejón
Tierra del mañana vende el alma en un billón

[Verso 2: Charly García & Pedro Aznar]
Porque tengo miedo de América, aunque digan que sí
Lo que muestran no es la verdad, eso ya lo advertí
Tengo miedo de ir a París, tengo miedo del fin
Tengo miedo de mi TV, miedo de ser feliz

[Puente: Charly García & Pedro Aznar]
Cínico, sin perdón
Compasión sin amor

[Verso 1: Charly García & Pedro Aznar]
Porque tengo miedo de América, tengo miedo de Dios
De noticias histéricas, y de mí y de vos
Tengo miedo de América, miedo de ser feliz
Tengo miedo de réplicas, que nos sacan de aqui


[Coro: Pedro Aznar]
Valle del futuro es un oscuro callejón
Tierra del mañana vende el alma en un billón
Valle del futuro es un siniestro callejón
Tierra del mañana vende el puesto en un billón

[Outro: Pedro Aznar]
Porque"
Amigos de Dios,3818236,https://genius.com/Charly-garcia-amigos-de-dios-lyrics,"Album(id, artist, ...)","3 ContributorsAmigos de Dios LyricsEs medianoche en la televisión
Cuando uno quiere algo de diversión
Con maquillaje y sin disfraz
Aparecen los amigos de Dios

Son brasileros o de otro país
Todos se esconden bajo de un tapiz
Esto, con Hitler ya pasó
El milagro de una mala actuación

Y la historia de Jesús
Que se atragantó la cruz
Eligiendo a una puta sin dientes
Loco, cambio de canal
Pero sigue el recital
¿Con qué mierda drogan a la gente?

El cojo avanza, el mudo tiene voz
Todos se esconden bajo de un telón

¿Qué mierda van a vender?
Es difícil de creer
Se volvieron locos de repente
Es la eterna juventud
Es esa maldita luz
Es la droga que arruinó tu mente


Es medianoche en la televisión
Cuando uno quiere algo de diversión
Con maquillaje, sin disfraz
Aparecen los amigos de Dios

Toda esta mierda sucedió
El día que Tinelli nació

Aparecen los amigos de Dios
Aparecen los amigos de Dios"
Andan (Complete),1349782,https://genius.com/Charly-garcia-andan-complete-lyrics,"Album(id, artist, ...)","4 ContributorsAndan (Complete) Lyrics[Letra de ""Andan (Complete)""]

Adrenalina
Andan
Yo no sé si están
Yo no sé si van
Solo sé que andan
Salen de día
Y vuelven aquí
Y no me dejan dormir
Se esconden allí
Y no me dejan dormir
Será que estoy loco nena
Pero estoy loco por vos

Andan
Yo no sé si son
Yo no sé si estan
Solo sé que andan
Tocan mis dedos
Y me vienen a cazar
Tocan mi mente
Y me quieren atrapar
Será que ando mal en mi
Oh, yeah!
Será que estoy loco nena
Pero estoy loco por vos


Entras
Te vas
Te escondes en la puerta
Te vas
Te vas
Porque mi angel se fue
Tanto tiempo atrás
Porque mi angel se fue"
Andan (Excerpt),5250656,https://genius.com/Charly-garcia-andan-excerpt-lyrics,"Album(id, artist, ...)",
Anhedonia,1593262,https://genius.com/Charly-garcia-anhedonia-lyrics,"Album(id, artist, ...)","4 ContributorsAnhedonia Lyrics[Letra de ""Anhedonia""]

[Verso 1]
El tiempo vuelve a pasar
Pero no hay primavera en Anhedonia
El tiempo vuelve a llorar
Pero no hay primavera en Anhedonia

[Refrán 1]
Y aunque las luces son suaves
Y el cine está aquí
No hay nada que hacer, de noche no pasa nada
(Nada más que el tren)

[Verso 2]
Un ángel vuela en París
Y un chico nace casi en Anhedonia
Está tan lejos de aquí
Porque ella solo vive en Anhedonia

[Refrán 2]
Ella hizo un pacto de sangre
A pesar de mí
No tengo que hacer maletas, no siento nada
(Nada más en mí)


[Puente instrumental]

[Coro]
No, no tengo que volver
Hay sangre en la calle, calle
Ay, no hay que vivir así
Porque antes que tu madre
Mucho antes que el dolor
¡El amor cambia tu sangre!

[Outro]
Y aunque la noche es tan suave
Y el tiempo feliz
No tengo que hacer maletas, no siento nada"
A Punto de Caer,1052542,https://genius.com/Charly-garcia-a-punto-de-caer-lyrics,"Album(id, artist, ...)","2 ContributorsA Punto de Caer Lyrics[Letra de ""A Punto de Caer""]

Viajaste de verdad
Pasaste sustos
Saltaste la pared
Cambiando
Yo estaba en un lugar
A punto de caer
Y aunque te parezca extraño
Música es lo que das
Si estás así
Piensa
El problema no está aquí
Cambiar es bien
Aún sin amor
Aún sin creer
Entiende
Donde estoy
Quizás tendrás que ver
A dónde vas
Piensalo otra vez
Entiende y ten valor
Salta y se feliz
Intenta
Para que fingir
No vale la pena
Música es lo que me das"
Asesíname,991018,https://genius.com/Charly-garcia-asesiname-lyrics,"Album(id, artist, ...)","3 ContributorsAsesíname Lyrics[Letra de ""Asesíname""]

[Verso 1]
Cuando viniste a mí, cerré la puerta, pero abrí
Asesíname, asesíname
Por darte lo que di, me transformé en un souvenir
Asesíname, asesíname

[Coro]
Dejé tu imagen en el cajón
Guardé tu alma en el Mellotron
No quiero más que me des con cuentagotas tu amor (Un)

[Verso 2]
Es solo rock and roll, pero ya es mucho para vos
Asesíname, asesíname
No quiero más que me des con cuentagotas tu amor
Yo me quiero morir, no aguanto más estar aquí
Asesíname, asesíname
Asesíname, asesíname

[Puente]
All you need is love, love, love
Love, love, love

[Outro]
One, two, three, four, five, six, seven
All good children goes to heaven
One, two, three, four, five, six, seven
All good children goes to heaven
Asesíname
Asesíname"
Asesiname - en vivo,2000078,https://genius.com/Charly-garcia-asesiname-en-vivo-lyrics,,"1 ContributorAsesiname - en vivo LyricsCuando viniste a mi, cerré la puerta pero abrí, asesíname..

Por darte lo que dí, me transformé en un souvenir, asesíname, asesíname..

Dejé tu imagen en el cajón, guardé tu alma en el mellotron, no quiero más que me dés con cuentagotas tu amor

Es sólo rock and roll, pero ya es mucho para vos, asesímane, asesíname..

No quiero más que me dés con cuentagotas tu amor

Yo me quiero morir, no aguanto más estar aqui

Asesíname, asesíname..
Asesíname..asesíname..

All you need is love..love..love..
Love..love..love.."
Asesíname Stone,1567668,https://genius.com/Charly-garcia-asesiname-stone-lyrics,"Album(id, artist, ...)","3 ContributorsAsesíname Stone Lyrics[Letra de “Asesíname Stone”]

[Intro]
Lolita

[Verso 1]
Cuando viniste a mí, cerré la puerta, pero abrí
Asesíname, asesíname
Por darte lo que di, me transformé en un souvenir
Asesíname, asesíname

[Coro]
Dejé tu imagen en el cajón
Dejé tu alma en el Mellotron
No quiero más que me des con cuentagotas tu amor (Un)

[Verso 2]
Es solo rock and roll, pero ya es mucho para vos
Asesíname, asesíname
No quiero más que me des con cuentagotas tu amor (Yo me)
Yo me quiero morir, no aguanto más estar aquí
Asesíname, asesíname
Asesíname, asesíname

[Puente]
All you need is love
Love (All you need is love), love
All you need is love
Love, love


[Outro]
-síname, -síname
Asesíname
Asesíname
Asesíname
""Forty one, forty two, forty three
Forty four, forty five, forty six, forty seven, forty eight"""
Atlantis,4422996,https://genius.com/Charly-garcia-atlantis-lyrics,"Album(id, artist, ...)",
Atlantis - Parte II,5250673,https://genius.com/Charly-garcia-atlantis-parte-ii-lyrics,"Album(id, artist, ...)",
Autofemicidio,7987573,https://genius.com/Charly-garcia-autofemicidio-lyrics,"Album(id, artist, ...)","8 ContributorsAutofemicidio Lyrics[Letra de ""Autofemicidio""]

[Verso 1]
Ayer te viste desnuda
Desnuda frente al espejo
Fuiste a agarrar un cuchillo
No pudiste aguantar eso

[Verso 2]
Hay gente que se suicida
Un acto muy egoísta
Para salir en la tele
En diarios y en las revistas

[Coro]
La grieta entre los humanos
Se hace cada vez más grande
Los chicos quieren ser chicas
Las chicas quieren ser grandes

[Verso 3]
Tus amigos y tus seres
Queridos están corriendo
Tienen miedo que les digan
No saben que es todo un cuento


[Coro]
La grieta entre los humanos
Se hace cada vez más grande
Los chicos quieren ser chicas
Las chicas quieren ser grandes"
Bancate Ese Defecto,1159807,https://genius.com/Charly-garcia-bancate-ese-defecto-lyrics,"Album(id, artist, ...)","19 ContributorsBancate Ese Defecto Lyrics[Letra de ""Bancate Ese Defecto""]

[Verso 1]
Están pasando demasiadas cosas raras
Para que todo pueda seguir tan normal
Desconfío de tu cara de informado
Y de tu instinto de supervivencia
Hace tiempo que no leo ni veo nada
Porque me ofende que todo esté tan mal
Y hasta las personas lindas me dan rabia
Y los chicos y las chicas no hacen nada por cambiar

[Puente]
¡Ey!

[Verso 2]
Porque algún día se va a abrir esta trampa mortal
Pero hasta entonces llevarás en tu cara, una sombra
Y no presumas más de ser un humano normal
Y no te hagas más el gil que el defecto te nombra

[Coro]
Y yo te digo: “¡Hey, bancate ese defecto!""
No es culpa tuya, si la nariz no hace juego en tu cara
Y yo te digo: “Hey, bancate ese defecto!""
Aunque te arregles las gomas, nena, seguirás siendo rara
(Rara, rara)


[Interludio]
(¡Ah, pri-pri-pri!)

[Verso 3]
Mutilado, desnutrido, deformado
Ojo de vidrio marca tu cicatriz
Marineros, maricones embolsados
Bailan la danza de la ""intelligentsia""
Están pasando demasiadas cosas raras
Para que todo pueda seguir tan normal
Todo el mundo lo conoce por la cara
Todo el mundo se da cuenta por la forma de bailar

[Puente]
(¡Ah!)
(¡Ah, ah, ah!)
(¡Sabor!)
(¡Pri-pri!)

[Coro]
Y yo te digo: “¡Hey, bancate ese defecto!""
No es culpa tuya, si la nariz no hace juego en tu cara
Y yo te digo “¡Hey, bancate ese defecto!""
Aunque te arregles las gomas, nena, seguirás siendo rara
(Rara, rara, rara)


[Outro Instrumental]"
Bar Azul,10008164,https://genius.com/Charly-garcia-bar-azul-lyrics,,"1 ContributorBar Azul LyricsMe acuerdo de ese hombre que cantaba en el bar enamorado por la sirena
Y de esa muchachita que no supo bailar y fue tragada por las ballenas
Y de estas crucijadas donde nos perdimos perdida en un cafe y con algun pan
Y dan las 6 hasta la orilla y nunca volvimos a festejarlos en soledad

Me olvido de las cosas que no quiero pensar y me libero de las praderas
Escupo esa joyita que no puedo clavar pero la fria en su cuerpo quema

En esta tarde rara donde nos perdimos la vida no va a nada encontrar
El viento se hizo verde y ya nunca supimos usar un naipe y poder volar"
Believe,3818235,https://genius.com/Charly-garcia-believe-lyrics,"Album(id, artist, ...)","4 ContributorsBelieve Lyrics[Letra de ""Believe""]

[Verso 1]
When I need somebody to love
Someone I can believe

[Coro]
Someone I can believe
Riding in my head

[Verso 2]
When I need just somebody new
Someone I can believe
When I need somebody new
Someone I can believe

[Coro]
Someone I can believe
Riding in my head

[Verso 3]
When I need somebody to love
Someone I can believe"
