Posición,Título,Artista,Año,lyrics
1,La balsa,Los Gatos,1967,"6 ContributorsLa Balsa Lyrics[Letra de ""La Balsa""]

[Verso]
Estoy muy solo y triste, acá, en este mundo abandonado
Tengo una idea, es la de irme al lugar que yo más quiera
Me falta algo para ir, pues caminando yo no puedo
Construiré una balsa y me iré a naufragar

[Pre-Coro]
Tengo que conseguir mucha madera
Tengo que conseguir de donde pueda

[Coro]
Y cuando mi balsa esté lista, partiré hacia la locura
Con mi balsa, yo me iré a naufragar

[Solo]

[Pre-Coro]
Tengo que conseguir mucha madera
Tengo que conseguir de donde pueda

[Coro]
Y cuando mi balsa esté lista, partiré hacia la locura
Con mi balsa yo me iré a naufragar
Con mi balsa yo me iré a naufragar
Con mi balsa yo me iré a naufragar
A naufragar, a naufragar, a naufragar"
2,Muchacha (Ojos de papel),Almendra,1970,"16 ContributorsTranslationsEnglishMuchacha (Ojos de Papel) Lyrics[Letra de ""Muchacha (Ojos de Papel)""]

[Verso 1]
Muchacha ojos de papel, ¿a dónde vas?
Quédate hasta el alba
Muchacha pequeños pies, no corras más
Quédate hasta el alba
Sueña un sueño despacito entre mis manos
Hasta que por la ventana suba el sol
Muchacha piel de rayón, no corras más
Tu tiempo es hoy

[Coro]
Y no hables más, muchacha corazón de tiza
Cuando todos duerman, te robaré un color
Y no hables más, muchacha corazón de tiza
Cuando todos duerman, te robaré un color

[Verso 2]
Muchacha, voz de gorrión, ¿a dónde vas?
Quédate hasta el día
Muchacha, pechos de miel, no corras más
Quédate hasta el día
Duerme un poco y yo entre tanto construiré
Un castillo con tu vientre hasta que el sol
Muchacha, te haga reír hasta llorar
Hasta llorar


[Coro]
Y no hables más, muchacha corazón de tiza
Cuando todos duerman, te robaré un color
Y no hables más, muchacha corazón de tiza
Cuando todos duerman, te robaré un color"
3,Rasguña las piedras,Sui Generis,1973,"10 ContributorsRasguña las Piedras Lyrics[Letra de ""Rasguña las Piedras""]

[Verso 1: Charly García; Nito Mestre; Ambos]
Detrás de las paredes que ayer te han levantado
Te ruego que respires todavía
Apoyo mis espaldas y espero que me abraces
Atravesando el muro de mis días

[Coro: Ambos]
Y rasguña las piedras, y rasguña las piedras
Y rasguña las piedras hasta mí

[Verso 2: García; Mestre; Ambos]
Apenas perceptibles, escucho tus palabras
Se acercan las bandas de rock and roll
Y sacuden un poco las paredes gastadas
Y siento las preguntas de tu voz

[Coro: Ambos]
Y rasguña las piedras, y rasguña las piedras
Y rasguña las piedras hasta mí

[Puente: Mestre; García; Ambos]
Y si estoy cansado de gritarte
Es que solo quiero despertarte


[Verso 3: Mestre; García; Ambos]
Y por fin veo tus ojos, que lloran desde el fondo
Y empiezo amarte con toda mi piel
Y escarbo hasta abrazarte y me sangran las manos
Pero qué libres vamos a crecer

[Coro: Ambos]
Y rasguña las piedras, y rasguña las piedras
Y rasguña las piedras hasta mí
Y rasguña las piedras, y rasguña las piedras
Y rasguña las piedras hasta mí"
4,De música ligera,Soda Stereo,1990,"21 ContributorsTranslationsEnglishDe Música Ligera Lyrics“De Música Ligera” is the sixth song on Soda Stereo’s 1990 album Cancion Animal. The song was written by the Guitarist and frontman of the band, Gustavo Cerati.

De Musica Ligera is one of the most famous… Read More [Letra de ""De Música Ligera""]

[Verso 1]
Ella durmió al calor de las masas
Y yo desperté, queriendo soñarla
Algún tiempo atrás, pensé en escribirle
Que nunca sorteé las trampas del amor

[Coro]
De aquel amor de música ligera
Nada nos libra, nada más queda

[Break Instrumental]

[Verso 2]
No le enviaré cenizas de rosas
Ni pienso evitar un roce secreto

[Coro]
De aquel amor de música ligera
Nada nos libra, nada más queda (Uh-uh-uh)

[Break Instrumental]

[Coro]
De aquel amor de música ligera
Nada nos libra, nada más queda
Nada más


[Outro]
Nada más queda, nada más queda
Nada más queda, nada más queda"
5,Ji ji ji,Patricio Rey y sus Redonditos de Ricota,1986,
6,Sólo le pido a Dios,León Gieco,1978,"4 ContributorsSólo le Pido a Dios Lyrics[Letra de ""Sólo Le Pido a Dios""]

[Verso 1]
Solo le pido a Dios
Que el dolor no me sea indiferente
Que la reseca muerte no me encuentre
Vacío y solo sin haber hecho lo suficiente

[Verso 2]
Solo le pido a Dios
Que lo injusto no me sea indiferente
Que no me abofeteen la otra mejilla
Después de que una garra me arañó esta suerte

[Coro]
Solo le pido a Dios
Que la guerra no me sea indiferente
Es un monstruo grande y pisa fuerte
Toda la pobre inocencia de la gente

Es un monstruo grande y pisa fuerte
Toda la pobre inocencia de la gente

[Verso 3]
Solo le pido a Dios
Que el engaño no me sea indiferente
Si un traidor puede más que unos cuantos
Que esos cuantos no lo olviden fácilmente


[Verso 4]
Solo le pido a Dios
Que el futuro no me sea indiferente
Desahuciado está el que tiene que marchar
A vivir una cultura diferente

[Coro]
Solo le pido a Dios
Que la guerra no me sea indiferente
Es un monstruo grande y pisa fuerte
Toda la pobre inocencia de la gente

Es un monstruo grande y pisa fuerte
Toda la pobre inocencia de la gente"
7,Presente (El momento en que estás),Vox Dei,1970,"3 ContributorsPresente (El Momento En Que Estás) Lyrics[Letra de ""Presente""]

[Verso 1]
Todo concluye al fin, nada puede escapar
Todo tiene un final, todo termina
Tengo que comprender no es eterna la vida
El llanto de la risa allí termina

[Pre-Coro]
Creías en el amor, no tenia medida
O dejas de querer, tal vez a otra mujer

[Coro]
Y olvidé aquello que una vez pensaba
Que nunca acabaría, nunca acabaría
Pero sin embargo terminó
Todo me demuestra que al final de cuenta
Termino cada día, empiezo cada día
Pensando en mañana, fracaso hoy

[Verso 2]
No puedo yo entender, si es así la verdad
De que sirve ganar, si después perderé
Inútil es pelear no puedo detenerlo
Lo que hoy empecé, no será eterno


[Pre-Coro]
Creías en el amor, no tenia medida
O dejas de querer, tal vez a otra mujer

[Coro]
Y olvidé aquello que una vez pensaba
Que nunca acabaría, nunca acabaría
Pero sin embargo terminó
Todo me demuestra que al final de cuenta
Termino cada día, empiezo cada día
Pensando en mañana, fracaso hoy

[Puente]
Cuánta verdad (Cuánta verdad) hay en vivir
Solamente (Solamente)
El momento en que estás
Sí, el presente
El presente y nada más

[Coro]
Todo me demuestra que al final de cuenta
Termino cada día, empiezo cada día
Pensando en mañana, fracaso hoy
Todo me demuestra que al final de cuenta
Termino cada día, empiezo cada día
Pensando en mañana, fracaso hoy
Todo me demuestra que al final de cuenta
Termino cada día, empiezo cada día
Pensando en mañana, fracaso hoy


[Outro]
La-la-la-la-la-la
La-la-la-la-la-la
La-la-la-la-la-la
La-la-la-la-la-la
La-la-la-la-la-la"
8,Seminare,Serú Girán,1978,"12 ContributorsTranslationsEnglishSeminare Lyrics[Letra de ""Seminare""]

[Verso 1]
Quiero ver, quiero entrar
Nena, nadie te va a hacer mal, excepto amarte
Vas aquí, vas allá
Pero nunca te encontrarás al escaparte

[Coro 1]
No hay fuerza alrededor, no hay pociones para el amor
¿Dónde estás? ¿Dónde voy?
Porque estamos en la calle de la sensación
Muy lejos del sol, que quema de amor

[Verso 2]
Te doy pan, quieres sal
Nena, nunca te voy a dar lo que me pides
Te doy Dios, quieres más
¿Es que nunca comprenderás a un pobre pibe?

[Coro 2]
Esas motos que van a mil, sólo el viento te hará sentir
Nada más, nada más
Si pudieras olvidar tu mente frente a mí
Sé que tu corazón diría que sí


[Solo]

[Coro 1]
No hay fuerza alrededor, no hay pociones para el amor
¿Dónde estás? ¿Dónde voy?
Porque estamos en la calle de la sensación
Muy lejos del sol, que quema de amor
Muy lejos del sol, que quema de amor

[Solo]"
9,Y dale alegría a mi corazón,Fito Páez,1990,"4 ContributorsY Dale Alegría a mi Corazón Lyrics[Letra de ""Y Dale Alegría a Mi Corazón""]

[Estribillo: Fito Páez]
Y dale alegría, alegría a mi corazón
Es lo único que te pido, al menos hoy
Y dale alegría, alegría a mi corazón
Afuera se irán la pena y el dolor

[Verso 1: Luis Alberto Spinetta, Fito Páez]
Y ya verás
Las sombras que aquí estuvieron no estarán
Y ya, ya verás
Bebamos y emborrachemos la ciudad

[Estribillo: Luis Alberto Spinetta & Fabiana Cantilo, Luis Alberto Spinetta]
Y dale alegría, alegría a mi corazón
Es lo único que te pido, al menos hoy
Y dale alegría, alegría a mi corazón
Y que se enciendan las luces de este amor

[Verso 2: Luis Alberto Spinetta]
Y ya verás
Cómo se transforma el aire del lugar
Y ya verás
Que no necesitaremos nada más


[Estribillo: Luis Alberto Spinetta & Fabiana Cantilo, Luis Alberto Spinetta]
Y dale alegría, alegría a mi corazón
Que ayer no tuve un buen día, por favor
Y dale alegría, alegría a mi corazón
Que si me das alegría estoy mejor

[Verso 3: Luis Alberto Spinetta]
Y ya verás
Las sombras que aquí estuvieron no estarán
Y ya, ya verás
Que no necesitaremos nada más

[Estribillo: Fito Paéz, Luis Alberto Spinetta & Fabiana Cantilo, Fito Páez, Fabiana Cantilo]
Y dale alegría, alegría a mi corazón
Es lo único que te pido, al menos hoy
Y dale alegría, alegría a mi corazón
Afuera se irán la pena y el dolor

Y dale alegría, alegría a mi corazón
(Uh-uh, uh-uh-uh)
Y dale alegría, alegría a mi corazón
(Uh-uh-uh, uh-uh, uh-uh-uh, uh-uh)

[Outro instrumental]"
10,Matador,Los Fabulosos Cadillacs,1993,"13 ContributorsMatador LyricsLa canción “Matador”, también conocida como “El Matador”, es el segundo sencillo del primer álbum recopilatorio de LFC, Vasos Vacíos.

Es considerada la canción insignia de la banda y una de las canciones más… Read More [Letra de “Matador”]

[Intro]
¡Te están buscando, Matador!

[Verso 1]
Me dicen el Matador, nací en Barracas
Si hablamos de matar, mis palabras matan
No hace mucho tiempo que cayó el León Santillán
Y ahora sé que en cualquier momento me la van a dar
(Ma-matador, Ma-matador)
¿Dónde estás Matador?
(Ma-matador, Ma-matador)

[Verso 2]
Me dicen el Matador, me están buscando
En una fría pensión los estoy esperando
Agazapado en lo más oscuro de mi habitación
Fusil en mano, espero mi final

[Pre-Coro 1]
(Ma-matador, Ma-matador)
La cana te busca, Matador
(Ma-matador, Ma-matador)
La cana te prende, Matador
(Ma-matador, Ma-matador)


[Coro]
¡Hey! ¡Hey!
¡Hey! ¡Hey!
(¡Matador, Matador!)
¿Dónde estás, Matador?
(¡Matador, Matador!)
No te vayas, Matador
¡Matadooo-o-o-o-oor!
¡Oh, yeah!
(¡Matador, Matador!)

[Verso 3]
Viento de libertad, sangre combativa
En los bolsillos del pueblo, la vieja herida
De pronto el día se me hace de noche
Murmullos, corridas y el golpe en la puerta
¡Llegó la fuerza policial!

[Pre-Coro 2]
(Ma-matador, Ma-matador)
Mira, hermano, en qué terminaste
(Ma-matador, Ma-matador)
Por pelear por un mundo mejor
¿Qué suenan? ¡Son balas! ¡Me alcanzan! ¡Me atrapan!
¡Resiste! ¡Víctor Jara, no calla!


[Coro 2]
(¡Matador, Matador!)
Matador, te están buscando
(¡Matador, Matador!)
Matador, te están matando
¡Matadooo-o-o-o-oor!
¡Oh, yeah!
(¡Matador, Matador!)
Valiente, Matador

[Puente]
Me dicen el Matador de los cien barrios porteños
No tengo por qué tener miedo, mis palabras son balas
Balas de paz, balas de justicia
Soy la voz de los que hicieron callar sin razón
Por el solo hecho de pensar distinto, ¡ay Dios!
Santa María de los Buenos Aires, si todo estuviera mejor

[Coro 2]
(¡Matador, Matador!)
Si todo estuviera mejor
(¡Matador, Matador!)
¿A dónde vas, Matador?
¡Matadooo-o-o-o-oor!
¡Oh, yeah!
(¡Matador, Matador!)
Valiente, Matador


[Outro]
¡Hey! ¡Hey!
¡Hey! ¡Hey!"
11,Canción para mi muerte,Sui Generis,1972,"11 ContributorsCanción Para Mi Muerte Lyrics[Letra de ""Canción Para Mi Muerte""]

[Verso 1: Charly García, Nito Mestre, Ambos]
Hubo un tiempo que fui hermoso y fui libre de verdad
Guardaba todos mis sueños en castillos de cristal
Poco a poco fui creciendo y mis fábulas de amor
Se fueron desvaneciendo como pompas de jabón

[Coro: Ambos]
Te encontraré una mañana dentro de mi habitación
Y prepararás la cama para dos

[Verso 2: García, Mestre, Ambos]
Es larga la carretera cuando uno mira atrás
Vas cruzando las fronteras sin darte cuenta quizás
Tomate del pasamanos porque antes de llegar
Se aferraron mil ancianos, pero se fueron igual

[Coro: Ambos]
Te encontraré una mañana dentro de mi habitación
Y prepararás la cama para dos

[Puente Instrumental]

[Verso 3: García, Mestre, Ambos]
Quisiera saber tu nombre, tu lugar, tu dirección
Y si te han puesto teléfono, también tu numeración
Te suplico que me avises si me vienes a buscar
No es porque te tenga miedo, sólo me quiero arreglar


[Coro: Ambos]
Te encontraré una mañana dentro de mi habitación
Y prepararás la cama para dos
Te encontraré una mañana dentro de mi habitación
Y prepararás la cama para dos"
